GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bot,edu.java.bot.controller,BotController,6,0,0,0,2,0,2,0,2,0
bot,edu.java.bot.service,TelegramBotService,150,0,8,0,26,0,9,0,5,0
bot,edu.java.bot.configuration,ApplicationConfig,6,0,0,0,2,0,2,0,2,0
bot,edu.java.bot.dto,LinkUpdateRequest,12,0,0,0,1,0,1,0,1,0
bot,edu.java.bot.dto,LinkRequest,13,0,0,0,5,0,3,0,3,0
bot,edu.java.bot.dto,LinkResponse,15,0,0,0,6,0,3,0,3,0
bot,edu.java.bot.handler,StartCommandHandler,28,0,4,0,4,0,5,0,3,0
bot,edu.java.bot.handler,ListCommandHandler,54,0,6,0,9,0,6,0,3,0
bot,edu.java.bot.handler,UntrackCommandHandler,80,0,10,0,14,0,8,0,3,0
bot,edu.java.bot.handler,HelpCommandHandler,30,0,4,0,5,0,5,0,3,0
bot,edu.java.bot.handler,TrackCommandHandler,80,0,10,0,14,0,8,0,3,0
bot,edu.java.bot.exception,DuplicateLinkException,4,0,0,0,1,0,1,0,1,0
bot,edu.java.bot.exception,LinkNotFoundException,4,0,0,0,1,0,1,0,1,0
bot,edu.java.bot,BotApplication,8,0,0,0,3,0,2,0,2,0
